2025/04/10 20:22:39 Docker守护进程以root启动
2025/04/10 20:22:39 Docker未开启TCP端口
2025/04/10 20:22:39 特权容器有: 
2025/04/10 20:22:39 Docker 版本: 24.0.2
2025/04/10 20:22:39 API 版本: 1.43
2025/04/10 20:22:39 Go 版本: go1.20.4
2025/04/10 20:22:39 Git commit: 659604f
2025/04/10 20:22:39 操作系统: linux
2025/04/10 20:22:39 runc 版本: v1.1.7-0-g860f061
2025/04/10 20:22:39 内核版本: 5.8.5-050805-generic
2025/04/10 20:22:39 containerd 版本: 3dce8eb055cbb6872793272b4f20ed16117344f8
2025/04/10 20:22:49 
漏洞匹配结果:
2025/04/10 20:22:49 全部容器以非 root 用户运行

2025/04/10 16:52:41   - CVE-2024-23054 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2024-23055 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2024-23824 (CVSS: 2.7, LOW)
2025/04/10 16:52:41   - CVE-2024-24760 (CVSS: 7.3, HIGH)
2025/04/10 16:52:41   - CVE-2024-35133 (CVSS: 8.2, HIGH)
2025/04/10 16:52:41   - CVE-2024-35140 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2024-35141 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2024-35142 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2024-41958 (CVSS: 7.2, HIGH)
2025/04/10 16:52:41   - CVE-2024-41959 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2024-41960 (CVSS: 4.8, MEDIUM)
2025/04/10 16:52:41   - CVE-2024-45647 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2024-47182 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2024-5652 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2024-6222 (CVSS: 7.0, HIGH)
2025/04/10 16:52:41   - CVE-2024-8695 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2024-8696 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2023-0625 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2023-0626 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2023-0627 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-0628 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-0629 (CVSS: 7.1, HIGH)
2025/04/10 16:52:41   - CVE-2023-0633 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-1802 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2023-1802 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2023-22949 (CVSS: 4.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-22951 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-23933 (CVSS: 4.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-23933 (CVSS: 4.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-25806 (CVSS: 5.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-25806 (CVSS: 5.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-26490 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-28109 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-28109 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-30999 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2023-31001 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-31003 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-31004 (CVSS: 9.0, CRITICAL)
2025/04/10 16:52:41   - CVE-2023-31005 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-31006 (CVSS: 7.5, HIGH)
2025/04/10 16:52:41   - CVE-2023-31141 (CVSS: 5.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-31141 (CVSS: 5.9, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-32327 (CVSS: 7.1, HIGH)
2025/04/10 16:52:41   - CVE-2023-32329 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-34108 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-34844 (CVSS: 9.8, CRITICAL)
2025/04/10 16:52:41   - CVE-2023-38267 (CVSS: 5.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-40350 (CVSS: 5.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-40453 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-41329 (CVSS: 6.6, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-41329 (CVSS: 6.6, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-43016 (CVSS: 7.3, HIGH)
2025/04/10 16:52:41   - CVE-2023-45807 (CVSS: 5.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-45807 (CVSS: 5.4, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-48311 (CVSS: 4.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-49077 (CVSS: 6.1, MEDIUM)
2025/04/10 16:52:41   - CVE-2023-5165 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2023-5166 (CVSS: 6.5, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-20617 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-22984 (CVSS: 6.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-23774 (CVSS: 5.3, MEDIUM)
2025/04/10 16:52:41   - CVE-2022-25365 (CVSS: 7.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-26659 (CVSS: 7.1, HIGH)
2025/04/10 16:52:41   - CVE-2022-29229 (CVSS: 7.2, HIGH)
2025/04/10 16:52:41   - CVE-2022-31138 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-31245 (CVSS: 8.8, HIGH)
2025/04/10 16:52:41   - CVE-2022-31647 (CVSS: 7.1, HIGH)
2025/04/10 16:52:41   - CVE-2022-34292 (CVSS: 7.1, HIGH)
2025/04/10 16:52:41   - CVE-2022-34882 (CVSS: 6.5, MEDIUM)
